obs,Localtime,EURCHFClose_bid,EURCHFClose_ask,EURGBPClose_bid,EURGBPClose_ask,GBPCHFClose_bid,GBPCHFClose_ask,uhat1_2009_2010,uhat2_2009_2010,uhat3_2009_2010,EC1_2009_2010,uhat1_2013_2014,uhat2_2013_2014,uhat3_2013_2014,EC1_2013_2014,uhat1_2015_2016,uhat2_2015_2016,uhat3_2015_2016,EC1_2015_2016,uhat1_2017_2018,uhat2_2017_2018,uhat3_2017_2018,EC1_2017_2018
2010-12-07,"06.12.2010 22:00:00.000 GMT-0000",1.3095,1.30982,0.84142,0.84165,1.55617,1.55653,0.00317887303762193,0.015282090716835,-0.00630403296416615,-1.41958269175168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-08,"07.12.2010 22:00:00.000 GMT-0000",1.30769,1.30795,0.83909,0.83932,1.55827,1.55863,-0.000710790809305306,0.00335698100643644,-0.00240290029195378,-1.41936811855788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-09,"08.12.2010 22:00:00.000 GMT-0000",1.30191,1.30219,0.8394,0.83962,1.55076,1.55114,-0.00381761816031251,-0.00407268828380314,-0.000426937244530912,-1.41918606207788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-10,"09.12.2010 22:00:00.000 GMT-0000",1.29693,1.29824,0.83675,0.83695,1.5494,1.54967,-0.00248783479979131,0.00181744382792592,-0.00362707952711616,-1.41901090988866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-13,"12.12.2010 22:00:00.000 GMT-0000",1.29593,1.29625,0.84413,0.84435,1.53486,1.53524,-0.000780628894859137,-0.0130154554960811,0.00684541984011078,-1.41728077731586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-14,"13.12.2010 22:00:00.000 GMT-0000",1.28346,1.28386,0.84791,0.84813,1.51357,1.51403,-0.0123726058741622,-0.017286243581375,0.00176171993063623,-1.41912424644134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-15,"14.12.2010 22:00:00.000 GMT-0000",1.27901,1.27928,0.84991,0.85012,1.50456,1.50504,-0.00207139765378461,-0.00564882318500026,0.00158632666223812,-1.41955607155914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-16,"15.12.2010 22:00:00.000 GMT-0000",1.27704,1.27734,0.84713,0.84735,1.50737,1.50773,-0.00304040419913387,0.00266457975162893,-0.00341354797068394,-1.41970922167775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-17,"16.12.2010 22:00:00.000 GMT-0000",1.2774,1.27796,0.84898,0.84912,1.50393,1.50575,0.00111025615030791,-0.000341254292404836,0.00112493029612082,-1.4193757505817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-20,"19.12.2010 22:00:00.000 GMT-0000",1.26618,1.26691,0.84631,0.84653,1.49647,1.49683,-0.00907708125782958,-0.00708291114544601,-0.00223025065822013,-1.41998425521564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-21,"20.12.2010 22:00:00.000 GMT-0000",1.25499,1.25526,0.84674,0.84697,1.48197,1.48233,-0.0113986812305998,-0.0143371486209236,0.000292212388680269,-1.41908929877255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-22,"21.12.2010 22:00:00.000 GMT-0000",1.24704,1.24741,0.85128,0.8515,1.46456,1.46499,-0.00791658777604609,-0.0159046361064799,0.00364999573219327,-1.41901642151029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-23,"22.12.2010 22:00:00.000 GMT-0000",1.25701,1.25775,0.84989,0.85011,1.47887,1.47923,0.00991696443620355,0.016116479977285,-0.00275964432874554,-1.4194723269739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-24,"23.12.2010 22:00:00.000 GMT-0000",1.26232,1.26283,0.84913,0.85039,1.4846,1.48739,0.00486334834761554,0.0078083815351957,0.000144003663163361,-1.41906004607125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-27,"26.12.2010 22:00:00.000 GMT-0000",1.26383,1.26412,0.85351,0.85388,1.47987,1.48097,-8.16939767867009e-06,-0.00198169584522612,0.000863539261951263,-1.42145020296047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-28,"27.12.2010 22:00:00.000 GMT-0000",1.24828,1.24925,0.8532,0.85361,1.46241,1.46406,-0.0110817225068249,-0.0111168174888823,-0.00110384801237395,-1.42042211844282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-29,"28.12.2010 22:00:00.000 GMT-0000",1.25027,1.25086,0.85316,0.85334,1.46556,1.46594,0.000843820973402909,-0.000853076389572438,0.000764849629652176,-1.42032502448473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-30,"29.12.2010 22:00:00.000 GMT-0000",1.24229,1.24243,0.86133,0.86154,1.44227,1.44263,-0.00809453886670591,-0.0200338936915996,0.0065147897274701,-1.41988259942624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-12-31,"30.12.2010 22:00:00.000 GMT-0000",1.24935,1.25159,0.85715,0.85743,1.45725,1.46051,0.00729510138442147,0.0156258728318308,-0.00388361264341064,-1.42186466184417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-03,"02.01.2011 22:00:00.000 GMT-0000",1.24701,1.24728,0.8625,0.86274,1.44557,1.44593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-04,"03.01.2011 22:00:00.000 GMT-0000",1.26228,1.26255,0.85365,0.85385,1.47827,1.47863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-05,"04.01.2011 22:00:00.000 GMT-0000",1.26999,1.27024,0.84747,0.84767,1.49837,1.49873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-06,"05.01.2011 22:00:00.000 GMT-0000",1.25539,1.25578,0.84032,0.84052,1.49376,1.49414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-07,"06.01.2011 22:00:00.000 GMT-0000",1.24812,1.24878,0.83004,0.83038,1.50324,1.50424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-10,"09.01.2011 22:00:00.000 GMT-0000",1.25292,1.25315,0.83156,0.83176,1.50647,1.50683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-11,"10.01.2011 22:00:00.000 GMT-0000",1.26303,1.26345,0.83161,0.83182,1.51856,1.51894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-12,"11.01.2011 22:00:00.000 GMT-0000",1.26922,1.26947,0.83305,0.83331,1.52326,1.52391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-13,"12.01.2011 22:00:00.000 GMT-0000",1.28785,1.28818,0.84364,0.84386,1.52637,1.52673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-14,"13.01.2011 22:00:00.000 GMT-0000",1.28946,1.2904,0.84337,0.84378,1.52852,1.5296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-17,"16.01.2011 22:00:00.000 GMT-0000",1.28217,1.28259,0.83666,0.83688,1.53237,1.53283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-18,"17.01.2011 22:00:00.000 GMT-0000",1.28959,1.28978,0.83856,0.83878,1.53766,1.53804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-19,"18.01.2011 22:00:00.000 GMT-0000",1.28633,1.28656,0.8421,0.84232,1.52707,1.52743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-20,"19.01.2011 22:00:00.000 GMT-0000",1.30319,1.3034,0.8474,0.8476,1.53767,1.53808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-21,"20.01.2011 22:00:00.000 GMT-0000",1.30483,1.30607,0.85085,0.85178,1.53297,1.53393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-24,"23.01.2011 22:00:00.000 GMT-0000",1.2944,1.29491,0.85298,0.85318,1.51727,1.51783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-25,"24.01.2011 22:00:00.000 GMT-0000",1.28912,1.28968,0.86494,0.86514,1.49026,1.49083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-26,"25.01.2011 22:00:00.000 GMT-0000",1.291,1.29206,0.86044,0.86068,1.5,1.50159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-27,"26.01.2011 22:00:00.000 GMT-0000",1.29834,1.29876,0.8621,0.8623,1.50566,1.50614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-28,"27.01.2011 22:00:00.000 GMT-0000",1.28175,1.28233,0.85812,0.85825,1.49376,1.49434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-31,"30.01.2011 22:00:00.000 GMT-0000",1.29259,1.29292,0.85502,0.85525,1.51146,1.51184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-02-01,"31.01.2011 22:00:00.000 GMT-0000",1.2933,1.29364,0.85661,0.85681,1.50946,1.50989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-02-02,"01.02.2011 22:00:00.000 GMT-0000",1.29783,1.29824,0.85284,0.85306,1.52165,1.52242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-02-03,"02.02.2011 22:00:00.000 GMT-0000",1.28906,1.28932,0.84476,0.84498,1.52552,1.52634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-02-04,"03.02.2011 22:00:00.000 GMT-0000",1.29707,1.29738,0.8431,0.8433,1.53747,1.53969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-02-07,"06.02.2011 22:00:00.000 GMT-0000",1.29763,1.29788,0.84301,0.84321,1.53907,1.53943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-02-08,"07.02.2011 22:00:00.000 GMT-0000",1.3123,1.31266,0.84784,0.84804,1.54766,1.54804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-02-09,"08.02.2011 22:00:00.000 GMT-0000",1.31527,1.31552,0.85273,0.85295,1.54207,1.54243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-02-10,"09.02.2011 22:00:00.000 GMT-0000",1.31794,1.31834,0.84483,0.84505,1.55996,1.56034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-02-11,"10.02.2011 22:00:00.000 GMT-0000",1.3181,1.31941,0.84626,0.84648,1.55756,1.55794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-02-14,"13.02.2011 22:00:00.000 GMT-0000",1.30818,1.30854,0.84094,0.84114,1.55547,1.55593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-02-15,"14.02.2011 22:00:00.000 GMT-0000",1.3041,1.30451,0.83629,0.83653,1.55936,1.55974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-02-16,"15.02.2011 22:00:00.000 GMT-0000",1.30157,1.30221,0.84283,0.84333,1.5435,1.5448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-02-17,"16.02.2011 22:00:00.000 GMT-0000",1.29232,1.29257,0.84136,0.84156,1.53576,1.53614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-02-18,"17.02.2011 22:00:00.000 GMT-0000",1.29344,1.29365,0.84235,0.84292,1.53467,1.53593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-02-21,"20.02.2011 22:00:00.000 GMT-0000",1.29458,1.29543,0.84297,0.84324,1.53596,1.53683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-02-22,"21.02.2011 22:00:00.000 GMT-0000",1.28145,1.2819,0.84585,0.84608,1.51476,1.51514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-02-23,"22.02.2011 22:00:00.000 GMT-0000",1.2825,1.28299,0.848,0.84818,1.51236,1.51274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-02-24,"23.02.2011 22:00:00.000 GMT-0000",1.27831,1.27869,0.85511,0.85531,1.49472,1.49523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-02-25,"24.02.2011 22:00:00.000 GMT-0000",1.27665,1.27712,0.85311,0.85333,1.49577,1.49633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-02-28,"27.02.2011 22:00:00.000 GMT-0000",1.2822,1.28245,0.84911,0.84926,1.5099,1.51023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-03-01,"28.02.2011 22:00:00.000 GMT-0000",1.27906,1.27935,0.84678,0.847,1.51017,1.51053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-03-02,"01.03.2011 22:00:00.000 GMT-0000",1.28036,1.28061,0.84919,0.84941,1.50733,1.50812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-03-03,"02.03.2011 22:00:00.000 GMT-0000",1.30116,1.30139,0.85802,0.85824,1.51626,1.51664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-03-04,"03.03.2011 22:00:00.000 GMT-0000",1.29318,1.2934,0.85968,0.85988,1.50327,1.50536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-03-07,"06.03.2011 22:00:00.000 GMT-0000",1.29409,1.29465,0.86209,0.86222,1.50106,1.50144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-03-08,"07.03.2011 22:00:00.000 GMT-0000",1.30016,1.30041,0.86032,0.86054,1.5113,1.51148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-03-09,"08.03.2011 22:00:00.000 GMT-0000",1.29287,1.29309,0.85829,0.85851,1.50596,1.50634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-03-10,"09.03.2011 22:00:00.000 GMT-0000",1.28592,1.2861,0.85898,0.85919,1.49666,1.49698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-03-11,"10.03.2011 22:00:00.000 GMT-0000",1.2925,1.29315,0.86442,0.86463,1.49507,1.49553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-03-14,"13.03.2011 21:00:00.000 GMT-0000",1.29341,1.29371,0.86502,0.86521,1.49467,1.49513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-03-15,"14.03.2011 21:00:00.000 GMT-0000",1.28268,1.28323,0.87054,0.8707,1.47313,1.47383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-03-16,"15.03.2011 21:00:00.000 GMT-0000",1.26179,1.26223,0.86704,0.8673,1.45476,1.45543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-03-17,"16.03.2011 21:00:00.000 GMT-0000",1.25971,1.2601,0.86881,0.86909,1.44961,1.45014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-03-18,"17.03.2011 21:00:00.000 GMT-0000",1.27737,1.27849,0.87342,0.87384,1.46119,1.46378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-03-21,"20.03.2011 21:00:00.000 GMT-0000",1.28634,1.28729,0.87207,0.8723,1.47527,1.47583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-03-22,"21.03.2011 21:00:00.000 GMT-0000",1.2824,1.28272,0.8674,0.8676,1.47817,1.47853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-03-23,"22.03.2011 21:00:00.000 GMT-0000",1.27976,1.28006,0.86766,0.86789,1.47477,1.47513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-03-24,"23.03.2011 21:00:00.000 GMT-0000",1.28761,1.2883,0.87931,0.87955,1.46427,1.46513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-03-25,"24.03.2011 21:00:00.000 GMT-0000",1.29554,1.29634,0.87801,0.87837,1.47477,1.47623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-03-28,"27.03.2011 22:00:00.000 GMT+0100",1.29129,1.29176,0.88074,0.88101,1.46596,1.46642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-03-29,"28.03.2011 22:00:00.000 GMT+0100",1.29839,1.29873,0.88135,0.88162,1.47279,1.47338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-03-30,"29.03.2011 22:00:00.000 GMT+0100",1.29727,1.29753,0.87874,0.87913,1.47576,1.4765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-03-31,"30.03.2011 22:00:00.000 GMT+0100",1.30082,1.30137,0.88323,0.88344,1.47251,1.47313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-04-01,"31.03.2011 22:00:00.000 GMT+0100",1.31465,1.31574,0.88334,0.88356,1.48806,1.48916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-04-04,"03.04.2011 22:00:00.000 GMT+0100",1.31258,1.31286,0.88131,0.88176,1.48867,1.48943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-04-05,"04.04.2011 22:00:00.000 GMT+0100",1.31597,1.31624,0.87259,0.87283,1.50772,1.50823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-04-06,"05.04.2011 22:00:00.000 GMT+0100",1.31678,1.31717,0.87742,0.87762,1.50036,1.50113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-04-07,"06.04.2011 22:00:00.000 GMT+0100",1.31104,1.31148,0.87636,0.87673,1.4955,1.49624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-04-08,"07.04.2011 22:00:00.000 GMT+0100",1.31247,1.31323,0.88358,0.88425,1.48438,1.48568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-04-11,"10.04.2011 22:00:00.000 GMT+0100",1.30853,1.30902,0.88302,0.88331,1.48156,1.48229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-04-12,"11.04.2011 22:00:00.000 GMT+0100",1.29837,1.2991,0.89032,0.89071,1.45779,1.45874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-04-13,"12.04.2011 22:00:00.000 GMT+0100",1.29426,1.29483,0.88755,0.88798,1.45786,1.4588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
